"Symbol";"Side";"P&L";"Pips";"Size";"Fee";"Open Price";"Close Price";"Open Date";"Close Date";"Risk";"Drawdown";"Cash Drawdown";"Open Order";"Close Order"
"ES(SEP25)";"SELL";"737,5";"59";"1";"4,14";"6405,25";"6390,5";"2025-08-07 08:51:16";"2025-08-07 09:11:17";"0,5";"7,5";"375";"35653414904";"35653485104"
"ES(SEP25)";"SELL";"-200";"-8";"2";"8,28";"6364,75";"6366,75";"2025-08-06 11:48:28";"2025-08-06 12:20:16";"3,4";"6,75";"675";"35652868704";"35652902004"
"ES(SEP25)";"BUY";"50";"2";"2";"8,28";"6349";"6349,5";"2025-08-06 09:08:57";"2025-08-06 09:09:15";"0,5";"0,25";"25";"35652378404";"35652379904"
"ES(SEP25)";"BUY";"400";"16";"2";"8,28";"6344,5";"6348,5";"2025-08-06 09:04:24";"2025-08-06 09:08:23";"0,1";"0,5";"50";"35652357404";"35652377204"
"ES(SEP25)";"BUY";"700";"28";"2";"8,28";"6341,5";"6348,5";"2025-08-06 05:36:06";"2025-08-06 09:08:23";"2";"14,25";"1425";"35652173404";"35652377204"
"ES(SEP25)";"BUY";"-1150";"-46";"2";"8,28";"6347,25";"6335,75";"2025-08-06 04:03:19";"2025-08-06 05:23:38";"1";"11,5";"1150";"35652137504";"35652137804"
"ES(SEP25)";"BUY";"0";"0";"2";"8,28";"6353,5";"6353,5";"2025-08-06 02:24:19";"2025-08-06 03:02:44";"2";"0,5";"50";"35652106804";"35652118704"
"ES(SEP25)";"SELL";"375";"10";"3";"12,42";"6330";"6327,5";"2025-08-05 11:43:23";"2025-08-05 14:56:36";"7,5";"18,75";"2813";"35651651004";"35651988304"
"ES(SEP25)";"SELL";"50";"2";"2";"8,28";"6325";"6324,5";"2025-08-05 10:31:41";"2025-08-05 10:35:05";"8,5";"4,25";"425";"35651457204";"35651460404"
"ES(SEP25)";"SELL";"75";"3";"2";"8,28";"6325";"6324,25";"2025-08-05 10:12:45";"2025-08-05 10:31:19";"9,3";"7";"700";"35651427504";"35651454904"
"ES(SEP25)";"SELL";"275";"11";"2";"8,28";"6344,25";"6341,5";"2025-08-04 13:14:19";"2025-08-05 09:25:58";"12,1";"33,25";"3325";"35650638904";"35651240304"
"ES(SEP25)";"SELL";"75";"3";"2";"8,28";"6345";"6344,25";"2025-08-04 12:52:42";"2025-08-04 12:55:07";"2,3";"1,75";"175";"35650589104";"35650592104"
"ES(SEP25)";"SELL";"75";"3";"2";"8,28";"6344,25";"6343,5";"2025-08-04 12:50:48";"2025-08-04 12:51:16";"0";"0";"0";"35650586304";"35650587004"
"ES(SEP25)";"SELL";"100";"4";"2";"8,28";"6346,25";"6345,25";"2025-08-04 12:45:07";"2025-08-04 12:47:13";"0,8";"0,75";"75";"35650583604";"35650584804"
"ES(SEP25)";"SELL";"125";"5";"2";"8,28";"6347";"6345,75";"2025-08-04 12:43:36";"2025-08-04 12:44:23";"0,4";"0,5";"50";"35650582304";"35650582704"
"ES(SEP25)";"SELL";"325";"13";"2";"8,28";"6349,75";"6346,5";"2025-08-04 12:25:21";"2025-08-04 12:41:56";"0,5";"1,5";"150";"35650572304";"35650580204"
"ES(SEP25)";"SELL";"-375";"-15";"2";"8,28";"6345";"6348,75";"2025-08-04 11:44:22";"2025-08-04 11:50:56";"1,2";"4,5";"450";"35650541304";"35650547204"
"ES(SEP25)";"SELL";"-225";"-9";"2";"8,28";"6344,25";"6346,5";"2025-08-04 11:30:12";"2025-08-04 11:35:04";"1";"2,25";"225";"35650533504";"35650536504"
"ES(SEP25)";"SELL";"200";"8";"2";"8,28";"6335";"6333";"2025-08-04 10:22:17";"2025-08-04 10:42:45";"3";"6";"600";"35650421204";"35650454904"
"ES(SEP25)";"SELL";"75";"3";"2";"8,28";"6335";"6334,25";"2025-08-04 10:21:32";"2025-08-04 10:21:56";"0";"0";"0";"35650419504";"35650420704"
"ES(SEP25)";"BUY";"37,5";"3";"1";"4,14";"6339,25";"6340";"2025-08-04 10:05:28";"2025-08-04 10:06:03";"2";"1,5";"75";"35650395004";"35650396804"
"ES(SEP25)";"BUY";"50";"4";"1";"4,14";"6339,25";"6340,25";"2025-08-04 10:05:28";"2025-08-04 10:06:03";"1,5";"1,5";"75";"35650395004";"35650396804"
"ES(SEP25)";"SELL";"75";"3";"2";"8,28";"6336,25";"6335,5";"2025-08-04 09:56:38";"2025-08-04 10:00:52";"3,7";"2,75";"275";"35650378404";"35650384104"
"ES(SEP25)";"BUY";"75";"3";"2";"8,28";"6337,75";"6338,5";"2025-08-04 09:20:06";"2025-08-04 09:20:43";"2";"1,5";"150";"35650313804";"35650315004"
"ES(SEP25)";"SELL";"75";"3";"2";"8,28";"6301";"6300,25";"2025-08-04 05:55:13";"2025-08-04 06:00:11";"1,3";"1";"100";"35650102504";"35650104404"
"ES(SEP25)";"BUY";"450";"18";"2";"8,28";"6262,75";"6267,25";"2025-08-01 14:12:59";"2025-08-01 14:18:59";"0,6";"2,75";"275";"35649822004";"35649827304"
"ES(SEP25)";"BUY";"1225";"49";"2";"8,28";"6258";"6270,25";"2025-08-01 12:50:26";"2025-08-01 13:36:05";"1,5";"18,5";"1850";"35649660104";"35649768304"
"ES(SEP25)";"BUY";"-750";"-30";"2";"8,28";"6277,75";"6270,25";"2025-08-01 09:40:47";"2025-08-01 13:36:05";"5,1";"38,25";"3825";"35649147104";"35649768304"
"ES(SEP25)";"BUY";"-175";"-7";"2";"8,28";"6308,25";"6306,5";"2025-08-01 06:12:59";"2025-08-01 07:30:01";"4,7";"8,25";"825";"35648531704";"35648532004"
"ES(SEP25)";"BUY";"-350";"-14";"2";"8,28";"6314,75";"6311,25";"2025-08-01 04:41:10";"2025-08-01 05:06:14";"1,5";"5,25";"525";"35648487604";"35648498504"
"ES(SEP25)";"BUY";"-525";"-21";"2";"8,28";"6315,75";"6310,5";"2025-08-01 04:02:16";"2025-08-01 04:23:57";"1";"5,25";"525";"35648474204";"35648480904"
"ES(SEP25)";"SELL";"-2825";"-113";"2";"8,28";"6325,25";"6353,5";"2025-07-22 09:07:03";"2025-08-01 01:49:42";"5,1";"143,25";"14325";"35641229304";"35648375804"
"ES(SEP25)";"SELL";"-700";"-28";"2";"8,28";"6342";"6349";"2025-07-22 08:34:15";"2025-07-22 08:39:23";"1";"7,25";"725";"35641081604";"35641098004"
"ES(SEP25)";"SELL";"450";"18";"2";"8,28";"6341,75";"6337,25";"2025-07-22 02:55:05";"2025-07-22 02:57:38";"0";"0";"0";"35640882704";"35640885004"
"ES(SEP25)";"SELL";"200";"8";"2";"8,28";"6344,5";"6342,5";"2025-07-21 08:28:14";"2025-07-21 14:48:07";"14,8";"29,5";"2950";"35640423504";"35640800604"
"ES(SEP25)";"SELL";"350";"14";"2";"8,28";"6348";"6344,5";"2025-07-21 07:22:08";"2025-07-21 07:55:13";"0,6";"2";"200";"35640380604";"35640396504"
"ES(SEP25)";"SELL";"-250";"-10";"2";"8,28";"6350,5";"6353";"2025-07-21 05:11:19";"2025-07-21 05:14:43";"1,4";"3,5";"350";"35640324104";"35640325504"
"ES(SEP25)";"SELL";"1225";"49";"2";"8,28";"6328,75";"6316,5";"2025-07-15 08:45:47";"2025-07-15 09:05:10";"0";"0,25";"25";"35636523104";"35636582504"
"ES(SEP25)";"SELL";"375";"15";"2";"8,28";"6311";"6307,25";"2025-07-14 14:20:39";"2025-07-14 14:45:43";"0,5";"2";"200";"35636142304";"35636159404"
"ES(SEP25)";"SELL";"-350";"-14";"2";"8,28";"6300";"6303,5";"2025-07-14 11:37:12";"2025-07-14 11:43:32";"1,2";"4,25";"425";"35636003804";"35636008904"
"ES(SEP25)";"SELL";"-812,5";"-65";"1";"4,14";"6263,5";"6279,75";"2025-07-09 01:24:19";"2025-07-11 05:00:30";"4,4";"72";"3600";"35632970804";"35634603104"
"ES(SEP25)";"SELL";"2300";"92";"2";"8,28";"6302,75";"6279,75";"2025-07-11 01:01:00";"2025-07-11 05:00:30";"0,3";"6,5";"650";"35634501304";"35634603104"
"ES(SEP25)";"SELL";"1275";"102";"1";"4,14";"6305,25";"6279,75";"2025-07-11 01:02:27";"2025-07-11 05:00:30";"0,2";"4";"200";"35634502804";"35634603104"
"ES(SEP25)";"SELL";"-1375";"-55";"2";"8,28";"6266";"6279,75";"2025-07-09 00:34:43";"2025-07-11 05:00:30";"5,1";"69,5";"6950";"35632965204";"35634603104"
"ES(SEP25)";"SELL";"875";"35";"2";"8,28";"6276,5";"6267,75";"2025-07-08 12:04:11";"2025-07-09 00:14:10";"0,5";"4,25";"425";"35632700004";"35632962904"
"ES(SEP25)";"SELL";"450";"36";"1";"4,14";"6276,5";"6267,5";"2025-07-08 12:04:11";"2025-07-09 00:14:10";"0,5";"4,25";"213";"35632700004";"35632962904"
"ES(SEP25)";"SELL";"425";"34";"1";"4,14";"6276,5";"6268";"2025-07-08 12:04:11";"2025-07-09 00:14:10";"0,5";"4,25";"213";"35632700004";"35632962904"
"ES(SEP25)";"SELL";"-1400";"-28";"4";"16,56";"6269,75";"6276,75";"2025-07-08 10:26:11";"2025-07-08 10:48:03";"1,1";"7,5";"1500";"35632564504";"35632607004"
"ES(SEP25)";"SELL";"-1250";"-50";"2";"8,28";"6266";"6278,5";"2025-07-08 09:57:12";"2025-07-08 10:10:46";"1";"12,5";"1250";"35632496004";"35632508304"
"ES(SEP25)";"SELL";"-750";"-30";"2";"8,28";"6268,5";"6276";"2025-07-08 09:57:54";"2025-07-08 10:05:38";"1";"7,5";"750";"35632510704";"35632511004"
"ES(SEP25)";"SELL";"-587,5";"-47";"1";"4,14";"6269,5";"6281,25";"2025-07-08 09:09:55";"2025-07-08 09:39:08";"1,1";"13";"650";"35632355604";"35632471404"
"ES(SEP25)";"SELL";"-600";"-48";"1";"4,14";"6269,5";"6281,5";"2025-07-08 09:09:55";"2025-07-08 09:39:08";"1,1";"13";"650";"35632355604";"35632471404"
"ES(SEP25)";"SELL";"850";"34";"2";"8,28";"6276,5";"6268";"2025-07-08 09:01:15";"2025-07-08 09:06:58";"0";"0,25";"25";"35632329704";"35632351404"
"ES(SEP25)";"SELL";"-150";"-6";"2";"8,28";"6280,5";"6282";"2025-07-08 08:23:25";"2025-07-08 08:53:40";"2,5";"3,75";"375";"35632253404";"35632305304"
"ES(SEP25)";"SELL";"-187,5";"-15";"1";"4,14";"6279,25";"6283";"2025-07-08 07:47:03";"2025-07-08 08:03:17";"1";"3,75";"188";"35632229604";"35632238104"
"ES(SEP25)";"SELL";"-200";"-16";"1";"4,14";"6279,25";"6283,25";"2025-07-08 07:47:03";"2025-07-08 08:03:17";"0,9";"3,75";"188";"35632229604";"35632238104"
"ES(SEP25)";"SELL";"-250";"-10";"2";"8,28";"6281";"6283,5";"2025-07-08 04:38:04";"2025-07-08 05:49:42";"2";"5";"500";"35632155404";"35632183104"
"ES(SEP25)";"SELL";"-150";"-6";"2";"8,28";"6282";"6283,5";"2025-07-08 03:41:51";"2025-07-08 04:16:59";"2";"3";"300";"35632122804";"35632144704"
"ES(SEP25)";"BUY";"-700";"-28";"2";"8,28";"6307";"6300";"2025-07-07 08:54:59";"2025-07-07 09:03:50";"1,6";"11,5";"1150";"35630936904";"35630971804"
"ES(SEP25)";"SELL";"50";"4";"1";"4,14";"6307,5";"6306,5";"2025-07-07 07:46:22";"2025-07-07 08:54:03";"2,3";"2,25";"113";"35630813004";"35630933704"
"ES(SEP25)";"SELL";"62,5";"5";"1";"4,14";"6307,5";"6306,25";"2025-07-07 07:46:22";"2025-07-07 08:54:03";"1,8";"2,25";"113";"35630813004";"35630933704"
"ES(SEP25)";"SELL";"75";"3";"2";"8,28";"6297,75";"6297";"2025-07-06 23:47:16";"2025-07-07 00:35:43";"1";"0,75";"75";"35630571704";"35630577704"
"ES(SEP25)";"BUY";"300";"12";"2";"8,28";"6286,5";"6289,5";"2025-07-04 08:46:07";"2025-07-04 10:11:18";"1,5";"4,5";"450";"35630402604";"35630461604"
"ES(SEP25)";"BUY";"-75";"-3";"2";"8,28";"6285,5";"6284,75";"2025-07-04 07:57:20";"2025-07-04 08:00:01";"2";"1,5";"150";"35630382304";"35630382804"
"ES(SEP25)";"BUY";"-125";"-5";"2";"8,28";"6285,75";"6284,5";"2025-07-04 07:44:29";"2025-07-04 07:51:18";"1,6";"2";"200";"35630374904";"35630377604"
"ES(SEP25)";"BUY";"-375";"-15";"2";"8,28";"6286,75";"6283";"2025-07-04 07:04:15";"2025-07-04 07:22:57";"1,1";"4";"400";"35630361104";"35630366404"
"ES(SEP25)";"BUY";"-275";"-11";"2";"8,28";"6290";"6287,25";"2025-07-04 05:02:48";"2025-07-04 05:24:51";"1,1";"3";"300";"35630322804";"35630328204"
"ES(SEP25)";"SELL";"1125";"45";"2";"8,28";"6305,25";"6294";"2025-07-04 01:10:46";"2025-07-04 02:19:48";"0,2";"1,75";"175";"35630224404";"35630236804"
"ES(SEP25)";"BUY";"-225";"-18";"1";"4,14";"6308,5";"6304";"2025-07-04 00:48:39";"2025-07-04 01:06:36";"1,1";"5";"250";"35630223404";"35630224304"
